Date,Attendance
2015-04-30,301
2015-05-01,284
2015-05-02,275
2015-05-03,304
2015-05-04,349
2015-05-05,295
2015-05-06,275
2015-05-07,273
2015-05-08,279
2015-05-09,287
2015-05-10,282
2015-05-11,282
2015-05-12,330
2015-05-13,301
2015-05-14,315
2015-05-15,271
2015-05-16,261
2015-05-17,299
2015-05-18,296
2015-05-19,272
2015-05-20,263
2015-05-21,299
2015-05-22,294
2015-05-23,268
2015-05-24,285
2015-05-25,330
2015-05-26,311
2015-05-27,324
2015-05-28,318
2015-05-29,339
2015-05-30,309
2015-05-31,313
2015-06-01,359
2015-06-02,304
2015-06-03,324
2015-06-04,322
2015-06-05,336
2015-06-06,300
2015-06-07,319
2015-06-08,343
2015-06-09,315
2015-06-10,305
2015-06-11,342
2015-06-12,297
2015-06-13,287
2015-06-14,290
2015-06-15,313
2015-06-16,319
2015-06-17,303
2015-06-18,306
2015-06-19,268
2015-06-20,296
2015-06-21,308
2015-06-22,349
2015-06-23,319
2015-06-24,312
2015-06-25,301
2015-06-26,322
2015-06-27,312
2015-06-28,328
2015-06-29,394
2015-06-30,326
2015-07-01,304
2015-07-02,334
2015-07-03,312
2015-07-04,299
2015-07-05,293
2015-07-06,348
2015-07-07,286
2015-07-08,285
2015-07-09,266
2015-07-10,274
2015-07-11,302
2015-07-12,300
2015-07-13,319
2015-07-14,305
2015-07-15,301
2015-07-16,296
2015-07-17,294
2015-07-18,255
2015-07-19,304
2015-07-20,313
2015-07-21,257
2015-07-22,270
2015-07-23,274
2015-07-24,246
2015-07-25,260
2015-07-26,291
2015-07-27,314
2015-07-28,277
2015-07-29,269
2015-07-30,268
2015-07-31,268
2015-08-01,264
2015-08-02,259
2015-08-03,270
2015-08-04,288
2015-08-05,268
2015-08-06,291
2015-08-07,268
2015-08-08,256
2015-08-09,258
2015-08-10,291
2015-08-11,282
2015-08-12,287
2015-08-13,278
2015-08-14,263
2015-08-15,271
2015-08-16,267
2015-08-17,305
2015-08-18,257
2015-08-19,292
2015-08-20,276
2015-08-21,242
2015-08-22,267
2015-08-23,285
2015-08-24,320
2015-08-25,291
2015-08-26,264
2015-08-27,286
2015-08-28,264
2015-08-29,277
2015-08-30,251
2015-08-31,298
2015-09-01,294
2015-09-02,255
2015-09-03,264
2015-09-04,290
2015-09-05,280
2015-09-06,287
2015-09-07,305
2015-09-08,280
2015-09-09,295
2015-09-10,288
2015-09-11,296
2015-09-12,276
2015-09-13,296
2015-09-14,311
2015-09-15,308
2015-09-16,280
2015-09-17,273
2015-09-18,313
2015-09-19,292
2015-09-20,309
2015-09-21,305
2015-09-22,313
2015-10-30,265
2015-10-31,274
2015-11-01,251
2015-11-02,301
2015-11-03,312
2015-11-04,275
2015-11-05,291
2015-11-06,315
2015-11-07,279
2015-11-08,271
2015-11-09,360
2015-11-10,294
2015-11-11,282
2015-11-12,302
2015-11-13,257
2015-11-14,286
2015-11-15,286
2015-11-16,269
2015-11-17,305
2015-11-18,320
2015-11-19,314
2015-11-20,293
2015-11-21,270
2015-11-22,319
2015-11-23,321
2015-11-24,306
2015-11-25,266
2015-11-26,244
2015-11-27,277
2015-11-28,281
2015-11-29,268
2015-11-30,319
2015-12-01,302
2015-12-02,262
2015-12-03,271
2015-12-04,270
2015-12-05,254
2015-12-06,246
2015-12-07,273
2015-12-08,282
2015-12-09,225
2015-12-10,288
2015-12-11,264
2015-12-12,251
2015-12-13,282
2015-12-14,332
2015-12-15,270
2015-12-16,247
2015-12-17,297
2015-12-18,290
2015-12-19,250
2015-12-20,214
2015-12-21,295
2015-12-22,301
2015-12-23,260
2015-12-24,307
2015-12-25,259
2015-12-26,279
2015-12-27,279
2015-12-28,291
2015-12-29,299
2015-12-30,275
2015-12-31,252
2016-01-01,264
2016-01-02,283
2016-01-03,266
2016-01-04,360
2016-01-05,273
2016-01-06,313
2016-01-07,296
2016-01-08,286
2016-01-09,282
2016-01-10,290
2016-01-11,279
2016-01-12,264
2016-01-13,306
2016-01-14,260
2016-01-15,260
2016-01-16,258
2016-01-17,256
2016-01-18,330
2016-01-19,283
2016-01-20,295
2016-01-21,296
2016-01-22,241
2016-01-23,227
2016-01-24,225
2016-01-25,297
2016-01-26,305
2016-01-27,323
2016-01-28,306
2016-01-29,315
2016-01-30,325
2016-01-31,303
2016-02-01,300
2016-02-02,303
2016-02-03,297
2016-02-04,299
2016-02-05,286
2016-02-06,278
2016-02-07,282
2016-02-08,326
2016-02-09,394
2016-02-10,389
2016-02-11,379
2016-02-12,351
2016-02-13,311
2016-02-14,322
2016-02-15,290
2016-02-16,303
2016-02-17,295
2016-02-18,276
2016-02-19,357
2016-02-20,300
2016-02-21,324
2016-02-22,342
2016-02-23,300
2016-02-24,292
2016-02-25,304
2016-02-26,337
2016-02-27,325
2016-02-28,314
2016-02-29,357
2016-03-01,361
2016-03-02,318
2016-03-03,315
2016-03-04,335
2016-03-05,336
2016-03-06,326
2016-03-07,359
2016-03-08,336
2016-03-09,273
2016-03-10,253
2016-03-11,267
2016-03-12,229
2016-03-13,280
2016-03-14,295
2016-03-15,296
2016-03-16,232
2016-03-17,291
2016-03-18,282
2016-03-19,252
2016-03-20,298
2016-03-21,283
2016-03-22,312
2016-03-23,265
2016-03-24,237
2016-03-25,290
2016-03-26,313
2016-03-27,295
2016-03-28,334
2016-03-29,284
2016-03-30,280
2016-03-31,279
2016-04-01,291
2016-04-02,318
2016-04-03,301
2016-04-04,316
2016-04-05,338
2016-04-06,319
2016-04-07,305
2016-04-08,322
2016-04-09,310
2016-04-10,316
2016-04-11,323
2016-04-12,282
2016-04-13,275
2016-04-14,306
2016-04-15,289
2016-04-16,303
2016-04-17,305
2016-04-18,331
2016-04-19,290
2016-04-20,279
2016-04-21,326
2016-04-22,293
2016-04-23,299
2016-04-24,276
2016-04-25,335
2016-04-26,306
2016-04-27,297
2016-04-28,311
2016-04-29,281
2016-04-30,313
2016-05-01,285
2016-05-02,312
2016-05-03,333
2016-05-04,289
2016-05-05,310
2016-05-06,342
2016-05-07,306
2016-05-08,336
2016-05-09,337
2016-05-10,294
2016-05-11,298
2016-05-12,337
2016-05-13,283
2016-05-14,319
2016-05-15,307
2016-05-16,355
2016-05-17,335
2016-05-18,309
2016-05-19,303
2016-05-20,292
2016-05-21,313
2016-05-22,319
2016-05-23,333
2016-05-24,306
2016-05-25,306
2016-05-26,280
2016-05-27,285
2016-05-28,279
2016-05-29,302
2016-05-30,359
2016-05-31,327
2016-06-01,289
2016-06-02,311
2016-07-10,268
2016-07-11,281
2016-07-12,282
2016-07-13,273
2016-07-14,293
2016-07-15,291
2016-07-16,251
2016-07-17,254
2016-07-18,300
2016-07-19,289
2016-07-20,293
2016-07-21,301
2016-07-22,294
2016-07-23,239
2016-07-24,302
2016-07-25,278
2016-07-26,294
2016-07-27,278
2016-07-28,296
2016-07-29,270
2016-07-30,244
2016-07-31,272
2016-08-01,293
2016-08-02,202
2016-08-03,285
2016-08-04,261
2016-08-05,316
2016-08-06,254
2016-08-07,302
2016-08-08,292
2016-08-09,313
2016-08-10,291
2016-08-11,295
2016-08-12,288
2016-08-13,249
2016-08-14,240
2016-08-15,293
2016-12-01,258
2016-12-02,279
2016-12-03,259
2016-12-04,297
2016-12-05,345
2016-12-06,297
2016-12-07,306
2016-12-08,293
2016-12-09,308
2016-12-10,280
2016-12-11,304
2016-12-12,311
2016-12-13,295
2016-12-14,277
2016-12-15,293
2016-12-16,262
2016-12-17,270
2016-12-18,287
2016-12-19,286
2016-12-20,326
2016-12-21,274
2016-12-22,300
2016-12-23,276
2016-12-24,231
2016-12-25,267
2016-12-26,290
2016-12-27,261
2016-12-28,279
2016-12-29,276
2016-12-30,265
2016-12-31,253
2017-01-01,288
2017-01-02,296
2017-01-03,292
2017-01-04,289
2017-01-05,288
2017-01-06,271
2017-01-07,288
2017-01-08,278
2017-01-09,294
2017-01-10,283
2017-01-11,252
2017-01-12,259
2017-01-13,259
2017-01-14,238
2017-01-15,248
2017-01-16,295
2017-01-17,280
2017-01-18,274
2017-01-19,282
2017-01-20,260
2017-01-21,223
2017-01-22,252
2017-01-23,288
2017-01-24,241
2017-01-25,272
2017-01-26,238
2017-01-27,204
2017-01-28,217
2017-01-29,251
2017-01-30,324
2017-01-31,270
2017-02-01,279
2017-02-02,230
2017-02-03,263
2017-02-04,274
2017-02-05,266
2017-02-06,291
2017-02-07,287
2017-02-08,290
2017-02-09,247
2017-02-10,275
2017-02-11,213
2017-02-12,266
2017-02-13,332
2017-02-14,286
2017-02-15,280
2017-02-16,297
2017-02-17,297
2017-02-18,260
2017-02-19,254
2017-02-20,356
2017-02-21,289
2017-02-22,294
2017-02-23,293
2017-02-24,277
2017-02-25,223
2017-02-26,275
2017-02-27,317
2017-02-28,286
2017-03-01,302
2017-03-02,264
2017-03-03,283
2017-03-04,290
2017-03-05,306
2017-03-06,322
2017-03-07,315
2017-03-08,260
2017-03-09,278
2017-03-10,300
2017-03-11,259
2017-03-12,270
2017-03-13,354
2017-03-14,323
2017-03-15,285
2017-03-16,295
2017-03-17,292
2017-03-18,296
2017-03-19,273
2017-03-20,334
2017-03-21,316
2017-03-22,285
2017-03-23,308
2017-03-24,317
2017-03-25,268
2017-03-26,241
2017-03-27,283
2017-03-28,311
2017-03-29,293
2017-03-30,319
2017-03-31,272
2017-04-01,280
2017-04-02,297
2017-04-03,308
2017-04-04,267
2017-04-05,338
2017-04-06,298
2017-04-07,278
2017-04-08,286
2017-04-09,267
2017-04-10,329
2017-04-11,314
2017-04-12,286
2017-04-13,295
2017-04-14,288
2017-04-15,271
2017-04-16,279
2017-04-17,328
2017-04-18,339
2017-04-19,314
2017-04-20,288
2017-04-21,293
2017-04-22,278
2017-04-23,289
2017-04-24,320
2017-04-25,305
2017-04-26,303
2017-04-27,286
2017-04-28,308
2017-04-29,302
2017-04-30,316
2017-05-01,324
2017-05-02,344
2017-05-03,287
2017-05-04,303
2017-05-05,292
2017-05-06,312
2017-05-07,293
2017-05-08,343
2017-05-09,308
2017-05-10,312
2017-05-11,295
2017-05-12,287
2017-05-13,263
2017-05-14,291
2017-05-15,338
2017-05-16,344
2017-05-17,328
2017-05-18,319
2017-05-19,300
2017-05-20,303
2017-05-21,291
2017-05-22,339
2017-05-23,274
2017-05-24,283
2017-05-25,277
2017-05-26,298
2017-05-27,281
2017-05-28,295
2017-05-29,337
2017-05-30,297
2017-05-31,361
2017-06-01,313
2017-06-02,287
2017-06-03,300
2017-06-04,293
2017-06-05,323
2017-06-06,318
2017-06-07,286
2017-06-08,290
2017-06-09,310
2017-06-10,307
2017-06-11,307
2017-06-12,292
2017-06-13,253
2017-06-14,294
2017-06-15,333
2017-06-16,271
2017-06-17,253
2017-06-18,288
2017-06-19,288
2017-06-20,318
2017-06-21,284
2017-06-22,309
2017-06-23,304
2017-06-24,298
2017-06-25,322
2017-06-26,340
2017-06-27,296
2017-06-28,320
2017-06-29,312
2017-06-30,286
2017-07-01,304
2017-07-02,342
2017-07-03,304
2017-07-04,319
2017-07-05,320
2017-07-06,311
2017-07-07,332
2017-07-08,275
2017-07-09,325
2017-07-10,335
2017-07-11,323
2017-07-12,328
2017-07-13,315
2017-07-14,312
2017-07-15,326
2017-07-16,296
2017-07-17,269
2017-07-18,227
2017-07-19,283
2017-07-20,304
2017-07-21,285
2017-07-22,266
2017-07-23,301
2017-07-24,337
2017-07-25,242
2017-07-26,258
2017-07-27,258
2017-07-28,258
2017-07-29,222
2017-07-30,254
2017-07-31,277
2017-08-01,245
2017-08-02,254
2017-08-03,238
2017-08-04,275
2017-08-05,275
2017-08-06,253
2017-08-07,322
2017-08-08,278
2017-08-09,267
2017-08-10,257
2017-08-11,304
2017-08-12,225
2017-08-13,244
2017-08-14,324
2017-08-15,265
2017-08-16,252
2017-08-17,291
2017-08-18,266
2017-08-19,257
2017-08-20,237
2017-08-21,289
2017-08-22,301
2017-08-23,222
2017-08-24,284
2017-08-25,296
2017-08-26,232
2017-08-27,238
2017-08-28,280
2017-08-29,279
2017-08-30,263
2017-08-31,247
2017-09-01,275
2017-09-02,250
2017-09-03,244
2017-09-04,257
2017-09-05,275
2017-09-06,241
2017-09-07,264
2017-09-08,278
2017-09-09,222
2017-09-10,278
2017-09-11,301
2017-09-12,295
2017-09-13,270
2017-09-14,245
2017-09-15,268
2017-09-16,263
2017-09-17,285
2017-09-18,316
2017-09-19,283
2017-09-20,290
2017-09-21,311
2017-09-22,281
2017-09-23,254
2017-09-24,224
2017-09-25,293
2017-09-26,290
2017-09-27,294
2017-09-28,284
2017-09-29,249
2017-09-30,249
2017-10-01,238
2017-10-02,290
2017-10-03,311
2017-10-04,282
2017-10-05,297
2017-10-06,305
2017-10-07,284
2017-10-08,285
2017-10-09,325
2017-10-10,298
2017-10-11,291
2017-10-12,291
2017-10-13,296
2017-10-14,270
2017-10-15,273
2017-10-16,309
2017-10-17,273
2017-10-18,264
2017-10-19,283
2017-10-20,259
2017-10-21,268
2017-10-22,268
2017-10-23,293
2017-10-24,273
2017-10-25,275
2017-10-26,288
2017-10-27,288
2017-10-28,244
2017-10-29,255
2017-10-30,318
2017-10-31,281
2017-11-01,287
2017-11-02,259
2017-11-03,292
2017-11-04,264
2017-11-05,273
2017-11-06,307
2017-11-07,276
2017-11-08,294
2017-11-09,279
2017-11-10,303
2017-11-11,294
2017-11-12,269
2017-11-13,310
2017-11-14,291
2017-11-15,312
2017-11-16,273
2017-11-17,274
2017-11-18,250
2017-11-19,229
2017-11-20,293
2017-11-21,265
2017-11-22,275
2017-11-23,274
2017-11-24,249
2017-11-25,242
2017-11-26,261
2017-11-27,284
2017-11-28,252
2017-11-29,277
2017-11-30,279
2017-12-01,283
2017-12-02,243
2017-12-03,268
2017-12-04,288
2017-12-05,273
2017-12-06,285
2017-12-07,299
2017-12-08,280
2017-12-09,240
2017-12-10,296
2017-12-11,303
2017-12-12,315
2017-12-13,265
2017-12-14,319
2017-12-15,270
2017-12-16,234
2017-12-17,259
2017-12-18,313
2017-12-19,256
2017-12-20,274
2017-12-21,235
2017-12-22,258
2017-12-23,304
2017-12-24,280
2017-12-25,269
2017-12-26,298
2017-12-27,274
2017-12-28,301
2017-12-29,272
2017-12-30,307
2017-12-31,267
2018-01-01,274
2018-01-02,338
2018-01-03,287
2018-01-04,307
2018-01-05,273
2018-01-06,256
2018-01-07,241
2018-01-08,270
2018-01-09,221
2018-01-10,255
2018-01-11,263
2018-01-12,266
2018-01-13,253
2018-01-14,267
2018-01-15,325
2018-01-16,285
2018-01-17,289
2018-01-18,308
2018-01-19,294
2018-01-20,254
2018-01-21,286
2018-01-22,332
2018-01-23,320
2018-01-24,284
2018-01-25,265
2018-01-26,298
2018-01-27,284
2018-01-28,252
2018-01-29,296
2018-01-30,262
2018-01-31,238
2018-02-01,217
2018-02-02,234
2018-02-03,227
2018-02-04,248
2018-02-05,302
2018-02-06,298
2018-02-07,305
2018-02-08,278
2018-02-09,271
2018-02-10,284
2018-02-11,267
2018-02-12,271
2018-02-13,292
2018-02-14,228
2018-02-15,276
2018-02-16,281
2018-02-17,298
2018-02-18,339
2018-02-19,320
2018-02-20,263
2018-02-21,259
2018-02-22,245
2018-02-23,255
2018-02-24,230
2018-02-25,257
2018-02-26,304
2018-02-27,281
2018-02-28,270
2018-03-01,279
2018-03-02,263
2018-03-03,250
2018-03-04,279
2018-03-05,291
2018-03-06,254
2018-03-07,271
2018-03-08,224
2018-03-09,261
2018-03-10,235
2018-03-11,258
2018-03-12,302
2018-03-13,254
2018-03-14,291
2018-03-15,276
2018-03-16,284
2018-03-17,247
2018-03-18,246
2018-03-19,299
2018-03-20,271
2018-03-21,252
2018-03-22,275
2018-03-23,247
2018-03-24,252
2018-03-25,246
2018-03-26,280
2018-03-27,285
2018-03-28,246
2018-03-29,271
2018-03-30,260
2018-03-31,277
2018-04-01,254
2018-04-02,274
2018-04-03,276
2018-04-04,257
2018-04-05,258
2018-04-06,286
2018-04-07,227
2018-04-08,260
2018-04-09,302
2018-04-10,265
2018-04-11,251
2018-04-12,282
2018-04-13,264
2018-04-14,276
2018-04-15,268
2018-04-16,262
2018-04-17,225
2018-04-18,240
2018-04-19,254
2018-04-20,260
2018-04-21,234
2018-04-22,279
2018-04-23,280
2018-04-24,257
2018-04-25,263
2018-04-26,275
2018-04-27,309
2018-07-11,299
2018-07-12,266
2018-07-13,253
2018-07-14,258
2018-07-15,251
2018-07-16,305
2018-07-17,285
2018-07-18,239
2018-07-19,267
2018-07-20,267
2018-07-21,253
2018-07-22,267
2018-07-23,290
2018-07-24,293
2018-07-25,283
2018-07-26,242
2018-07-27,256
2018-07-28,247
2018-07-29,266
2018-07-30,294
2018-07-31,259
2018-08-01,270
2018-08-02,269
2018-08-03,266
2018-08-04,235
2018-08-05,265
2018-08-06,299
2018-08-07,264
2018-08-08,273
2018-08-09,252
2018-08-10,276
2018-08-11,229
2018-08-12,261
2018-08-13,295
2018-08-14,278
2018-08-15,247
2018-08-16,268
2018-09-23,235
2018-09-24,254
2018-09-25,256
2018-09-26,317
2018-09-27,278
2018-09-28,251
2018-09-29,263
2018-09-30,251
2018-10-01,256
2018-10-02,302
2018-10-03,273
2018-10-04,263
2018-10-05,253
2018-10-06,260
2018-10-07,256
2018-10-08,296
2018-10-09,270
2018-10-10,268
2018-10-11,247
2018-10-12,277
2018-10-13,247
2018-10-14,290
2018-10-15,283
2018-10-16,258
2018-10-17,262
2018-10-18,259
2018-10-19,269
2018-10-20,278
2018-10-21,267
2018-10-22,316
2018-10-23,251
2018-10-24,281
2018-10-25,274
2018-10-26,253
2018-10-27,242
2018-10-28,265
2018-10-29,311
2018-10-30,260
2018-10-31,286
2018-11-01,280
2018-11-02,265
2018-11-03,269
2018-11-04,246
2018-11-05,330
2018-11-06,277
2018-11-07,266
2018-11-08,264
2018-11-09,280
2018-11-10,258
2018-11-11,255
2018-11-12,290
2018-11-13,269
2018-11-14,282
2018-11-15,283
2018-11-16,283
2018-11-17,257
2018-11-18,262
2018-11-19,288
2018-11-20,273
2018-11-21,264
2018-11-22,259
2018-11-23,268
2018-11-24,264
2018-11-25,244
2018-11-26,288
2018-11-27,289
2018-11-28,254
2018-11-29,244
2018-11-30,270
2018-12-01,226
2018-12-02,263
2018-12-03,323
2018-12-04,284
2018-12-05,303
2018-12-06,269
2018-12-07,299
2018-12-08,228
2018-12-09,229
2018-12-10,275
2018-12-11,242
2018-12-12,246
2018-12-13,245
2018-12-14,238
2018-12-15,241
2018-12-16,272
2018-12-17,251
2018-12-18,267
2018-12-19,256
2018-12-20,315
2018-12-21,260
2018-12-22,260
2018-12-23,275
2018-12-24,266
2018-12-25,244
2018-12-26,260
2018-12-27,301
2018-12-28,238
2018-12-29,213
2018-12-30,231
2018-12-31,245
2019-01-01,259
2019-01-02,265
2019-01-03,270
2019-01-04,281
2019-01-05,300
2019-01-06,281
2019-01-07,308
2019-01-08,283
2019-01-09,266
2019-01-10,305
2019-01-11,304
2019-01-12,244
2019-01-13,269
2019-01-14,317
2019-01-15,285
2019-01-16,260
2019-01-17,253
2019-01-18,295
2019-01-19,241
2019-01-20,280
2019-01-21,288
2019-01-22,249
2019-01-23,256
2019-01-24,249
2019-01-25,257
2019-01-26,262
2019-01-27,227
2019-01-28,285
2019-01-29,238
2019-01-30,245
2019-01-31,246
2019-02-01,245
2019-02-02,233
2019-02-03,247
2019-02-04,216
2019-02-05,199
2019-02-06,270
2019-02-07,242
2019-02-08,265
2019-02-09,273
2019-02-10,214
2019-02-11,259
2019-02-12,241
2019-02-13,268
2019-02-14,236
2019-02-15,278
2019-02-16,254
2019-02-17,238
2019-02-18,293
2019-02-19,244
2019-02-20,286
2019-02-21,257
2019-02-22,229
2019-02-23,223
2019-02-24,239
2019-02-25,279
2019-02-26,274
2019-02-27,262
2019-02-28,273
2019-03-01,266
2019-03-02,229
2019-03-03,273
2019-03-04,309
2019-03-05,257
2019-03-06,264
2019-03-07,253
2019-03-08,276
2019-03-09,230
2019-03-10,238
2019-03-11,295
2019-03-12,294
2019-03-13,298
2019-03-14,315
2019-03-15,262
2019-03-16,273
2019-03-17,272
2019-03-18,346
2019-03-19,270
2019-03-20,320
2019-03-21,289
2019-03-22,275
2019-03-23,242
2019-03-24,237
2019-03-25,317
2019-03-26,290
2019-03-27,266
2019-03-28,315
2019-03-29,271
2019-03-30,284
2019-03-31,250
2019-04-01,281
2019-04-02,299
2019-04-03,266
2019-04-04,271
2019-04-05,251
2019-04-06,273
2019-04-07,235
2019-04-08,319
2019-04-09,315
2019-04-10,290
2019-04-11,276
2019-04-12,242
2019-04-13,229
2019-04-14,269
2019-04-15,276
2019-04-16,286
2019-04-17,293
2019-04-18,278
2019-04-19,275
2019-04-20,269
2019-04-21,291
2019-04-22,273
2019-04-23,319
2019-04-24,298
2019-04-25,275
2019-04-26,307
2019-04-27,282
2019-04-28,298
2019-04-29,293
2019-04-30,290
2019-05-01,251
2019-05-02,267
2019-05-03,275
2019-05-04,256
2019-05-05,256
2019-05-06,283
2019-05-07,278
2019-05-08,263
2019-05-09,296
2019-05-10,268
2019-05-11,251
2019-05-12,275
2019-05-13,299
2019-05-14,330
2019-05-15,268
2019-05-16,276
2019-05-17,285
2019-05-18,280
2019-05-19,253
2019-05-20,305
2019-05-21,275
2019-05-22,265
2019-05-23,281
2019-05-24,282
2019-05-25,277
2019-05-26,255
2019-05-27,295
2019-05-28,278
2019-05-29,263
2019-05-30,269
2019-05-31,274
2019-06-01,223
2019-06-02,240
2019-06-03,285
2019-06-04,254
2019-06-05,243
2019-06-06,262
2019-06-07,224
2019-06-08,241
2019-06-09,286
2019-06-10,297
2019-06-11,272
2019-06-12,258
2019-06-13,255
2019-06-14,270
2019-06-15,225
2019-06-16,261
2019-06-17,308
2019-06-18,265
2019-06-19,278
2019-06-20,277
2019-06-21,272
2019-06-22,241
2019-06-23,255
2019-06-24,298
2019-06-25,262
2019-06-26,279
2019-06-27,263
2019-06-28,267
2019-06-29,249
2019-06-30,264
2019-07-01,262
2019-07-02,299
2019-07-03,269
2019-07-04,285
2019-07-05,261
2019-07-06,237
2019-07-07,255
2019-07-08,281
2019-07-09,272
2019-07-10,255
2019-07-11,249
2019-07-12,241
2019-07-13,263
2019-07-14,256
2019-07-15,301
2019-07-16,274
2019-07-17,274
2019-07-18,263
2019-07-19,260
2019-07-20,226
2019-07-21,252
2019-07-22,235
2019-07-23,260
2019-07-24,233
2019-07-25,283
2019-07-26,253
2019-07-27,242
2019-07-28,242
2019-07-29,288
2019-07-30,230
2019-07-31,193
2019-08-01,234
2019-08-02,272
2019-08-03,235
2019-08-04,223
2019-08-05,291
2019-08-06,249
2019-08-07,274
2019-08-08,261
2019-08-09,250
2019-08-10,247
2019-08-11,234
2019-08-12,304
2019-08-13,238
2019-08-14,228
2019-08-15,253
2019-08-16,264
2019-09-23,285
2019-09-24,245
2019-09-25,247
2019-09-26,264
2019-09-27,243
2019-09-28,243
2019-09-29,267
2019-09-30,280
2019-10-01,258
2019-10-02,300
2019-10-03,258
2019-10-04,277
2019-10-05,268
2019-10-06,268
2019-10-07,263
2019-10-08,275
2019-10-09,249
2019-10-10,302
2019-10-11,257
2019-10-12,251
2019-10-13,246
2019-10-14,296
2019-10-15,288
2019-10-16,275
2019-10-17,232
2019-10-18,273
2019-10-19,242
2019-10-20,257
2019-10-21,279
2019-10-22,275
2019-10-23,254
2019-10-24,255
2019-10-25,255
2019-10-26,238
2019-10-27,234
2019-10-28,301
2019-10-29,289
2019-10-30,268
2019-10-31,274
2019-11-01,289
2019-11-02,245
2019-11-03,276
2019-11-04,287
2019-11-05,261
2019-11-06,262
2019-11-07,265
2019-11-08,234
2019-11-09,222
2019-11-10,287
2019-11-11,292
2019-11-12,270
2019-11-13,298
2019-11-14,243
2019-11-15,273
2019-11-16,237
2019-11-17,227
2019-11-18,260
2019-11-19,234
2019-11-20,254
2019-11-21,243
2019-11-22,244
2019-11-23,231
2019-11-24,263
2019-11-25,254
2019-11-26,258
2019-11-27,274
2019-11-28,245
2019-11-29,254
2019-11-30,222
2019-12-01,265
2020-01-07,289
2020-01-08,288
2020-01-09,258
2020-01-10,288
2020-01-11,241
2020-01-12,243
2020-01-13,289
2020-01-14,258
2020-01-15,240
2020-01-16,267
2020-01-17,253
2020-01-18,226
2020-01-19,243
2020-01-20,277
2020-01-21,241
2020-01-22,238
2020-01-23,283
2020-01-24,223
2020-01-25,212
2020-01-26,191
2020-01-27,166
2020-01-28,158
2020-01-29,195
2020-01-30,179
2020-01-31,183
2020-02-01,179
2020-02-02,186
2020-02-03,178
2020-02-04,136
2020-02-05,161
2020-02-06,147
2020-02-07,157
2020-02-08,111
2020-02-09,141
2020-02-10,169
2020-02-11,147
2020-02-12,166
2020-02-13,152
2020-02-14,163
2020-02-15,139
2020-02-16,145
2020-02-17,149
2020-02-18,168
2020-02-19,177
2020-02-20,150
2020-02-21,158
2020-02-22,137
2020-02-23,133
2020-02-24,164
2020-02-25,185
2020-02-26,165
2020-02-27,166
2020-02-28,152
2020-02-29,155
2020-03-01,148
